Time,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Random Option, Black Dog L,Ghirardelli L,Radio Transmitter L,Picasso Painting L,Haldiram's L,Signed Bat L, Black Dog M,Ghirardelli M,Radio Transmitter M,Picasso Painting M,Haldiram's M,Signed Bat M, Black Dog H,Ghirardelli H,Radio Transmitter H,Picasso Painting H,Haldiram's H,Signed Bat H
26/11/2023 06:52:53,0.05,5,47,9,1,1 hour,78,4,Yes,vkna,Option 3,,,,,,,2700,1200,700,900,150,10000,,,,,,
26/11/2023 07:01:18,$0.05,5 minutes,47 days,9,two,one hour,78,4,No,vkna,Option 3,,,,,,,4500,800,800,200,200,8000,,,,,,
26/11/2023 07:01:23,$0.05,5 mins,47 days ,9,2,1 hour,78,4 days ,No,vkna,Option 1,200,300,50,200,75,500,,,,,,,,,,,,
26/11/2023 07:02:24,0.05,5,47,9,2,1 hour ,78,4,Yes,vkna,Option 1,2000,300,500,500,30,6000,,,,,,,,,,,,
26/11/2023 07:13:51,0.05,5 minutes,47,9,2,1 & 1/2 hours,78,4,No,Vkna,Option 2,,,,,,,,,,,,,3300,1200,1200,10,25,900
26/11/2023 07:18:34,$0.05,100 minutes,47 days,9,2,1.5 hours,78,4 days,Not True,vkna,Option 1,2000,500,400,400,75,8000,,,,,,,,,,,,
26/11/2023 07:23:25,0.05,5,47,9,2,1,78,12,yes,vkna,Option 2,,,,,,,,,,,,,3500,1350,900,1150,200,11000
26/11/2023 07:24:13,0.05,5 minutes,47 days,9,2,1 hour,78,4,TRUE,vkna,Option 2,,,,,,,,,,,,,2500,1500,2,1200,220,9999
26/11/2023 07:38:00,0.05,5,47,9,2,1,78,4,yes,vkna,Option 2,,,,,,,,,,,,,3300,1200,800,1000,175,12000
26/11/2023 07:45:50,0.05,5,47,8,2,1,78,6,Yes,vkna,Option 1,2200,500,500,700,100,7000,,,,,,,,,,,,
26/11/2023 07:47:52,$0.05,5 minutes,47 days,9,2,1 hour,78,4 days,TRUE,vkna,Option 1,2000,300,800,500,30,10000,,,,,,,,,,,,
26/11/2023 07:48:11,0.05,5 min,47,9,2,1 hour,78,4,yes,vkna,Option 3,,,,,,,2000,800,700,500,175,7500,,,,,,
26/11/2023 07:48:53,0.05,5 minutes,47,9,2,1,78,4,no,vkna,Option 3,,,,,,,3000,800,800,800,125,9000,,,,,,
26/11/2023 07:49:17,0.05,5,47,8,2,90 minutes,78,4,Yes,vkna,Option 3,,,,,,,2500,1000,750,200,200,10000,,,,,,
26/11/2023 07:50:43,$0.05,5,47,9,2,1.5 hours,78,4,No,vona,Option 1,2000,500,500,400,60,7500,,,,,,,,,,,,
26/11/2023 07:51:33,0.05,100,12,9,1,1.5,78,4.5,Yes,vkna,Option 1,2400,400,400,200,50,7000,,,,,,,,,,,,
26/11/2023 07:52:26,0.05,5,47,9,2,1,78,4,Yes,vkna,Option 1,3000,1200,50,2800,200,12000,,,,,,,,,,,,
26/11/2023 07:53:10,0.05,5,47,9,2,1 hour,78,4,No,vkna,Option 3,,,,,,,3000,800,600,1000,80,10000,,,,,,
26/11/2023 07:53:56,$ 0.05,5,47,"9(alive), 8 dead",2(I took 2 away the other might be with some other),1hour,78,4,"Yes (because most implies > 50% , they both must have intersection)",vkna,Option 1,0(not interested in whiskey),600,500,250,100,0(Not interested in wasting money for some celebrity signed items),,,,,,,,,,,,
26/11/2023 07:55:25,$0.05,5 minutes ,47 days,9,2,1 hour,78,4 days,Yes,vkna,Option 3,,,,,,,3000,1000,500,850,60,4200,,,,,,
26/11/2023 07:57:21,0.05,5 minutes,47 days,9,2,1 hour ,78,4 days,FALSE,vkna,Option 1,0 INR,1000 INR,0 INR,0 INR,50 INR,0 INR,,,,,,,,,,,,
26/11/2023 07:58:09,$0.05 ,5 minutes,47 days,9,2,1 hr,78,4 days,"Yes, if most means > 50%, else No",vkna,Option 1,2350,499,300,500,60,7500,,,,,,,,,,,,
26/11/2023 07:59:13,$0.05,5 minutes,47 days,9,1,1 hour,78,4 days,Yes,vkna,Option 3,,,,,,,3300,1200,700,700,175,10000,,,,,,
26/11/2023 08:03:20,0.05,5 minutes,47 days,9,One,1 hour 30 minutes,78,4 days,TRUE,vkna,Option 3,,,,,,,0. I don't do alcohol.,200. I don't imagine spending so much for chocolate.,300. Radio is useless nowadays,2000,200,3000. Idc about autographs.,,,,,,
26/11/2023 08:03:56,0.05,5 minutes,47 days,9,2,1 hour,78,4,Yes,vkna,Option 1,1500,600,200,600,60,8000,,,,,,,,,,,,
26/11/2023 08:09:10,$0.05,5 minutes,47 days,9 sheep,2 apples,1 hour,78,4 days,Not False,vkna,Option 1,2500 INR,500 INR,400 INR,500 INR,30 INR,"10,000 INR",,,,,,,,,,,,
26/11/2023 08:09:26,0.05,5 minutes,47,9,2,1 Hour,78,4 days,TRUE,vkna,Option 2,,,,,,,,,,,,,2000,1000,800,1300,100,12000
26/11/2023 08:11:51,0 055,5,47,9,2,1 hour,78,4,TRUE,vkna,Option 2,,,,,,,,,,,,,3000,15000,1000,500,200,10000
26/11/2023 08:12:58,0.05,5,24,9,2,1,78,4,TRUE,vkna,Option 2,,,,,,,,,,,,,3500,1000,500,1000,80,100000
26/11/2023 08:15:31,0.05,5,47,9,2,1 hour,78,4 days,TRUE,vkna,Option 1,2500,500,500,1000,100,1000,,,,,,,,,,,,
26/11/2023 08:32:07,5 cents ,69,24,9,2,1,78,4 days,yes,vkma,Option 2,,,,,,,,,,,,,3500,1200,800,1200,175,12000
26/11/2023 08:32:49,0.05,5 minutes,47,9,2,1 hour,78,4,Yes,vkna,Option 3,,,,,,,3000,1200,600,1000,100,20000,,,,,,
26/11/2023 08:33:53,$0.05,5 minutes,47 days,9 sheep,2 apples,1 hour,78,4 days,No,vkna,Option 3,,,,,,,1600,800,600,550,150,10000,,,,,,
26/11/2023 08:44:38,$0.5,5 minutes,47,9,2,Half hour,78,4,TRUE,vkna,Option 1,2700,600,100,1000,125,"10,000",,,,,,,,,,,,
26/11/2023 08:49:58,0.5,100,47,9,2,1 hour,78,4,True ,Vkna ,Option 1,2000,500,450,1000,40,5500,,,,,,,,,,,,
26/11/2023 08:57:41,0.5,5,47,9,2,1hr,78,4,Yes (most meaning >50%?) No if ≥50% or some other green majority but still 20%stuff,vkna,Option 2,,,,,,,,,,,,,3500,200,800,3000,50,6000
26/11/2023 09:06:30,0.05,5 minutes,47 days,9,2 apples,1hour,78,4 days,yes,vkna,Option 1,2500,600,500,700,125,8000,,,,,,,,,,,,
26/11/2023 09:33:46,0.05,5,47,9,2,1 hour,78,4,Yes,vkna,Option 1,2450,500,400,400,50,8000,,,,,,,,,,,,
26/11/2023 09:38:59,0.05,5,47,9,2,1hr,78,4,TRUE,vkna,Option 2,,,,,,,,,,,,,3200,1100,800,900,100,10000
26/11/2023 09:45:56,0.05,5,47,9,2,1 hour,78,4,Yes,vkna,Option 2,,,,,,,,,,,,,2500,1250,800,900,150,11000
26/11/2023 10:26:07,0.05,5,47,9,2,1,78,4,No,vkna,Option 3,,,,,,,3500,800,600,800,175,15000,,,,,,
26/11/2023 11:18:53,1.05,100,47,9,2,1.5,78,4,TRUE,vkna,Option 2,,,,,,,,,,,,,3600,1350,850,1100,175,12000
26/11/2023 12:05:50,$0.5,5 minutes,47 days,9,2,1 hour,78,4 days,yes,vkna,Option 1,2000,500,400,100,200,10000,,,,,,,,,,,,
26/11/2023 12:48:23,0.05,5 mins,47 days,9,One,1.5 hours,78,4 days,If “most” is >50% then yes,vkna,Option 2,,,,,,,,,,,,,3500,1200,600,1150,200,11000
26/11/2023 15:17:06,0.05,5 minutes,47,9,2,1 hour,78,4,no,vkna,Option 1,2200,500,400,500,50,8001,,,,,,,,,,,,
27/11/2023 00:35:33,0.1,5,47,9,2,1 hour,78,4,TRUE,vkna,Option 3,,,,,,,5000,800,1000,1000,100,50000,,,,,,
27/11/2023 00:44:57,0.1,5 minutes,47 minutes,9,2,1 hour ,78,4 days,No,vkna,Option 1,2500,800,500,1000,100,8000,,,,,,,,,,,,
27/11/2023 02:33:54,0.1,5 minutes,47 days,9,2 apples,1 hour,78,4 days,Yes,vkna,Option 2,,,,,,,,,,,,,1500,2000,800,1000,150,20000
